the last, the last 100 averaged mu
0.145379,0.10056
0.16791,0.16919
0.257036,0.272522
0.206624,0.243271
0.327007,0.307481
0.343757,0.339406
0.327843,0.360044
0.244927,0.279835
0.276023,0.235981
0.0894046,0.0570118
0.172008,0.134724
0.154673,0.093388
0.0107294,0.0214854
0.00687775,0.00332579
0.00542385,0.0664299
0.00645803,0.0411469
0.103399,0.1453
0.119576,0.151294
0.0554391,0.11251
0.168729,0.137512
0.0463561,0.031626
0.0096048,-0.00113531
-0.00118958,-0.00506162
0.0714207,0.0250906
0.0147544,0.0160735
0.0765774,0.10836
0.0587624,0.0504649
0.101065,0.1675
-0.0747352,0.0516368
-0.0194501,0.0872135
0.236126,0.253768
0.278587,0.266491
0.325989,0.356064
0.317478,0.315853
0.311714,0.277819
0.30598,0.293546
0.380941,0.337533
0.391585,0.409935
0.41916,0.445386
0.444212,0.457202
0.384637,0.377439
0.329158,0.2927
0.274449,0.287255
0.305456,0.281258
0.429531,0.423892
0.530847,0.483897
0.461805,0.434764
0.408453,0.407571
0.428146,0.437077
0.611481,0.617311
0.668509,0.632223
0.610301,0.612343
0.454842,0.468278
0.379232,0.401244
0.24565,0.290951
0.271021,0.256589
0.248394,0.272269
0.105975,0.186577
0.0665756,0.0928809
0.0899456,0.108419
0.0799782,0.144453
0.133426,0.153942
0.0795095,0.0705874
-0.0576131,-0.00823874
-0.00989352,0.0913219
-0.0111583,0.0843384
0.0321155,0.0755154
0.019036,0.0108341
-0.00505802,-0.0245505
-0.0348056,-0.0355115
-0.014918,-0.00275797
0.0940678,0.0526386
0.0753193,0.0602171
0.126349,0.138721
0.174767,0.0870074
0.302466,0.256491
0.231931,0.214203
0.349741,0.295603
0.330086,0.263427
0.298015,0.217394
0.18288,0.200487
0.114055,0.141281
0.0290763,0.0825565
0.102894,0.122738
0.10107,0.110846
0.138368,0.152035
0.373469,0.343973
0.317019,0.329793
0.165941,0.213441
0.173421,0.239386
0.0965239,0.125058
0.120299,0.110379
0.00487947,0.0425693
0.13427,0.140047
0.0809853,0.137854
0.199606,0.206637
0.344581,0.289764
0.44665,0.363909
0.421871,0.337584
0.335355,0.262064
0.284893,0.205216
0.28499,0.166762
0.303048,0.207412
0.297415,0.195278
0.290149,0.199962
0.257636,0.188736
0.20582,0.148891
0.179855,0.110368
0.0723486,0.0641016
-0.016674,-0.00417174
-0.0699966,0.0322487
0.0967865,0.16011
0.0335469,0.0836746
-0.0686284,-0.0173019
-0.142239,-0.0965068
-0.194837,-0.118398
-0.0520707,-0.0224223
-0.13237,-0.085308
-0.029818,0.0192707
-0.115571,-0.0459237
-0.177939,-0.133522
-0.112159,-0.104103
-0.0565967,-0.00993366
-0.115459,-0.0798422
-0.0387335,-0.0716244
-0.000302013,-0.0144173
0.0970282,0.0919913
0.0998122,0.134696
0.198805,0.294349
0.243704,0.319634
0.225389,0.320688
0.16817,0.233989
0.203699,0.242342
0.16436,0.169082
0.198234,0.191291
0.25135,0.190671
0.241051,0.181909
0.245221,0.195782
0.167949,0.173816
0.143694,0.134516
0.200541,0.168524
0.128238,0.097663
0.0552789,0.0247456
-0.0696771,-0.0605604
0.121658,0.150329
0.243652,0.236859
0.249582,0.245539
0.191605,0.148656
0.0702867,0.0106441
-0.0189951,-0.08646
0.138544,0.0378475
0.259877,0.163633
0.266724,0.202469
0.292541,0.211927
0.37331,0.267457
0.4329,0.333922
0.49523,0.457257
0.457118,0.439141
0.382991,0.368378
0.386104,0.405791
0.364715,0.3374
0.32598,0.285399
0.307903,0.294881
0.211461,0.254162
0.218448,0.231583
0.235837,0.233203
0.384511,0.346961
0.336657,0.317139
0.245441,0.235158
0.33105,0.282423
0.334586,0.27143
0.183583,0.0884655
0.337405,0.266551
0.318154,0.2718
0.386674,0.332373
0.242617,0.198154
0.169616,0.1601
0.120418,0.0945833
0.148768,0.14775
0.0513416,0.0313317
0.021757,0.0252255
-0.0692195,-0.080591
-0.036608,-0.0987608
-0.112023,-0.144965
-0.162701,-0.212582
-0.176583,-0.21879
-0.226359,-0.251832
-0.233281,-0.229581
-0.358123,-0.31059
-0.369392,-0.317415
-0.463418,-0.455497
-0.322917,-0.343068
-0.456534,-0.451995
-0.41085,-0.392542
-0.234068,-0.252945
-0.219397,-0.228153
-0.348155,-0.299586
-0.458409,-0.395042
-0.372117,-0.385676
-0.22295,-0.218905
-0.205073,-0.231893
-0.0825031,-0.124947
-0.163083,-0.131342
-0.296698,-0.250671
-0.270624,-0.26654
-0.229458,-0.209004
-0.210544,-0.221404
-0.274721,-0.320612
-0.329817,-0.323475
-0.239325,-0.259654
-0.197949,-0.216354
-0.177856,-0.133221
-0.185906,-0.155571
-0.167264,-0.0788014
-0.144412,-0.0803096
-0.212132,-0.158983
-0.129266,-0.127911
-0.0288618,-0.0408854
-0.0876495,-0.0988893
-0.0394238,-0.0455571
0.0110817,-0.0177981
0.0670969,0.0906093
0.0586892,0.0283878
0.0301729,-0.00221604
-0.0675234,-0.0968203
-0.0916587,-0.111943
-0.13825,-0.155927
-0.0406569,-0.119864
-0.133949,-0.214934
-0.0712635,-0.143275
-0.177669,-0.231885
-0.125792,-0.16222
-0.0593911,-0.0886957
0.131967,0.0714221
0.0915159,0.0451678
0.0841083,0.0647589
0.109766,0.057136
0.0457709,-0.0260054
0.0576362,-0.0140617
-0.0323438,-0.125421
-0.00817856,-0.0437127
0.0244066,-0.0204518
