E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.0217748, 0.0727974, 1, 0.57054, 0.917294
0.00362736, 0.0941514, 0.865675, 0.408488, 0.863804
0.0101378, 0.055294, 0.596487, 0.323069, 0.772349
0.00612609, 0.124261, 0.441223, 0.262515, 0.677653
0.00588714, 0.131957, 0.356399, 0.220387, 0.616275
0.0152823, 0.196641, 0.312789, 0.195416, 0.596798
0.0418971, 0.280631, 0.275026, 0.181343, 0.557816
0.0556764, 0.385695, 0.261146, 0.17973, 0.572733
0.0626021, 0.454815, 0.242493, 0.165758, 0.570524
0.0683672, 0.551747, 0.242493, 0.154938, 0.572296
0.0648652, 0.596922, 0.240974, 0.15168, 0.549266
0.0751033, 0.656327, 0.237446, 0.141246, 0.547687
0.0775576, 0.66934, 0.235605, 0.144042, 0.536024
0.0967159, 0.699199, 0.232687, 0.136886, 0.483827
0.100967, 0.689692, 0.220967, 0.131843, 0.464561
0.0735641, 0.687428, 0.20598, 0.13591, 0.451738
0.0639299, 0.727168, 0.205187, 0.127327, 0.458893
0.0541953, 0.761811, 0.205187, 0.122706, 0.413915
0.0792239, 0.737395, 0.198629, 0.114612, 0.404691
0.0693724, 0.771203, 0.198629, 0.108093, 0.376945
0.0990869, 0.80276, 0.19712, 0.105937, 0.387842
0.0872487, 0.810993, 0.194213, 0.0994459, 0.385534
0.0917086, 0.835782, 0.194213, 0.0947079, 0.370749
0.0854307, 0.852815, 0.194213, 0.0917521, 0.37133
0.0911262, 0.910508, 0.194294, 0.0925652, 0.337426
0.0467389, 0.839042, 0.190183, 0.0847571, 0.292285
0.104493, 0.887412, 0.182943, 0.0840123, 0.291124
0.0849318, 0.883878, 0.182943, 0.0795011, 0.259185
0.121705, 0.88881, 0.182943, 0.0809256, 0.196844
0.107025, 0.912854, 0.174542, 0.0817033, 0.146667
0.104172, 0.88087, 0.174772, 0.0827265, 0.0916942
0.0834468, 0.91756, 0.171038, 0.0817268, 0.0478172
0.0841134, 0.928529, 0.160531, 0.0870989, 0.0472424
0.109711, 0.904166, 0.164237, 0.0903734, 0.0148951
0.114457, 0.898197, 0.168878, 0.0910442, -0.00949823
0.0908504, 0.893908, 0.161756, 0.0919065, -0.0410223
0.04462, 0.884752, 0.16041, 0.0910269, -0.0463296
0.0910564, 0.843831, 0.161457, 0.0902598, -0.059119
0.0939731, 0.877641, 0.154383, 0.0889124, -0.124396
0.0677094, 0.905957, 0.154383, 0.0916869, -0.180813
0.0750988, 0.888063, 0.154383, 0.0936114, -0.154855
0.0717385, 0.901577, 0.154383, 0.0996752, -0.182888
0.0760867, 0.893133, 0.154383, 0.0954496, -0.186519
0.0282688, 0.874368, 0.15264, 0.0953934, -0.197464
0.0744404, 0.855532, 0.15264, 0.0949349, -0.211643
0.0897398, 0.888187, 0.149834, 0.0969867, -0.187588
0.10472, 0.878506, 0.149834, 0.103601, -0.224788
0.0563798, 0.8605, 0.149834, 0.102696, -0.212301
0.0884419, 0.862635, 0.144653, 0.101785, -0.207163
0.0482438, 0.887031, 0.144653, 0.0978859, -0.205274
0.076058, 0.853937, 0.144653, 0.104894, -0.213006
0.099212, 0.848802, 0.14444, 0.104448, -0.277665
0.0641306, 0.858624, 0.14444, 0.116857, -0.254321
0.0744933, 0.838852, 0.14444, 0.115217, -0.242383
0.0849104, 0.861447, 0.14444, 0.119357, -0.244122
0.131668, 0.854292, 0.14444, 0.121468, -0.240341
0.0493559, 0.855349, 0.14444, 0.115372, -0.2939
0.0841401, 0.825401, 0.14444, 0.115237, -0.327474
0.0818968, 0.837123, 0.14444, 0.116417, -0.3562
0.0836263, 0.889992, 0.14444, 0.117476, -0.346794
0.0414716, 0.836908, 0.14444, 0.115694, -0.337295
0.0399216, 0.831791, 0.14444, 0.114431, -0.328584
0.0799262, 0.849185, 0.142075, 0.112964, -0.3845
0.0983813, 0.833784, 0.142075, 0.114382, -0.395801
0.086361, 0.855059, 0.142075, 0.114366, -0.400719
0.0833503, 0.852223, 0.142075, 0.113279, -0.409377
0.0719768, 0.860543, 0.142075, 0.115201, -0.437348
0.0465836, 0.856907, 0.142075, 0.116892, -0.490573
0.0491229, 0.85864, 0.142075, 0.120436, -0.465419
0.0875608, 0.846618, 0.142075, 0.116793, -0.449897
0.101147, 0.872656, 0.142075, 0.114159, -0.418413
0.10579, 0.858662, 0.142075, 0.113199, -0.385987
0.105772, 0.867359, 0.142075, 0.11477, -0.363367
0.10411, 0.845696, 0.142075, 0.11029, -0.391699
0.0669625, 0.857493, 0.142075, 0.114052, -0.414156
0.108078, 0.83601, 0.142075, 0.112845, -0.467648
0.0990518, 0.873827, 0.142075, 0.116355, -0.475454
0.0569764, 0.866976, 0.142075, 0.108106, -0.513934
0.0783522, 0.881254, 0.142075, 0.113831, -0.549403
0.0781288, 0.869084, 0.142075, 0.109347, -0.563345
0.0638753, 0.877057, 0.142075, 0.110013, -0.566676
0.126976, 0.876192, 0.142075, 0.107515, -0.60116
0.058805, 0.840898, 0.142075, 0.107267, -0.589142
0.0822838, 0.861507, 0.142075, 0.107575, -0.605694
0.0824241, 0.874105, 0.142075, 0.106302, -0.58343
0.0612341, 0.869611, 0.142075, 0.103325, -0.606923
0.123033, 0.883577, 0.142075, 0.104393, -0.587673
0.091335, 0.886475, 0.142075, 0.100254, -0.586719
0.0939469, 0.881627, 0.142075, 0.0995966, -0.599376
0.104631, 0.864726, 0.142075, 0.102704, -0.672799
0.0750051, 0.881836, 0.142075, 0.106034, -0.664374
0.0773745, 0.885191, 0.142075, 0.108673, -0.619195
0.0943367, 0.858129, 0.142075, 0.110594, -0.619799
0.0426799, 0.875068, 0.142075, 0.108732, -0.629144
0.079962, 0.875565, 0.142075, 0.104405, -0.622723
0.0881749, 0.870833, 0.142075, 0.104117, -0.629696
0.101556, 0.858798, 0.142075, 0.104896, -0.667038
0.068931, 0.881927, 0.142075, 0.102541, -0.659947
0.0741442, 0.891224, 0.142075, 0.102874, -0.667913
0.0238433, 0.876586, 0.142075, 0.105997, -0.674811
0.0534561, 0.873687, 0.142075, 0.106737, -0.658333
0.0563309, 0.879178, 0.142075, 0.099962, -0.690778
0.0616446, 0.86299, 0.142075, 0.101282, -0.68783
0.0750368, 0.874947, 0.142075, 0.0991605, -0.692317
0.0614895, 0.884692, 0.142075, 0.0992582, -0.694368
0.0855265, 0.856313, 0.142075, 0.0990336, -0.713228
0.0623734, 0.882327, 0.142075, 0.102658, -0.705656
