E_mu, beta, sig_y, sig_mu, rho
0.05, 0.5, 1, 1, -0.8
0.0581389, 0.0644237, 1, 0.560655, 0.926014
0.0568937, 0.174509, 0.801536, 0.392669, 0.882879
0.0717277, 0.20684, 0.598655, 0.322063, 0.824582
0.0698947, 0.241448, 0.445355, 0.265051, 0.719784
0.0664904, 0.325938, 0.347763, 0.233976, 0.653866
0.0570428, 0.443436, 0.312185, 0.21447, 0.631149
0.0782614, 0.35852, 0.272859, 0.191602, 0.557423
0.0706472, 0.42295, 0.247586, 0.182058, 0.495926
0.0935822, 0.50172, 0.227188, 0.168136, 0.488332
0.06389, 0.573531, 0.21385, 0.15784, 0.49333
0.0545168, 0.624757, 0.212945, 0.153881, 0.489387
0.0974348, 0.685071, 0.213133, 0.143359, 0.425353
0.0912918, 0.727978, 0.207441, 0.140087, 0.395336
0.0947873, 0.709587, 0.201702, 0.134657, 0.441772
0.0891295, 0.740683, 0.201702, 0.13297, 0.442598
0.10755, 0.724999, 0.201702, 0.127833, 0.433701
0.0793081, 0.691385, 0.201702, 0.124185, 0.452104
0.0870693, 0.757843, 0.201702, 0.121777, 0.446204
0.0777809, 0.763287, 0.201102, 0.117247, 0.448379
0.060893, 0.833662, 0.199431, 0.110866, 0.424016
0.0771839, 0.812014, 0.195318, 0.102244, 0.379216
0.0945423, 0.86409, 0.195318, 0.0987703, 0.405765
0.0806778, 0.865922, 0.195318, 0.100393, 0.405483
0.0945628, 0.833628, 0.195318, 0.0988809, 0.441728
0.0708379, 0.844376, 0.195318, 0.0966653, 0.453056
0.0681946, 0.873442, 0.195318, 0.0932526, 0.433984
0.071544, 0.854086, 0.195318, 0.0973792, 0.40205
0.10365, 0.850964, 0.195318, 0.0970161, 0.382014
0.0753917, 0.85525, 0.195318, 0.0935846, 0.383655
0.080693, 0.850163, 0.195318, 0.0923872, 0.401782
0.104594, 0.864011, 0.195318, 0.0895391, 0.385384
0.116667, 0.85448, 0.191059, 0.0890838, 0.385103
0.0791789, 0.87412, 0.191059, 0.0921493, 0.397068
0.0667431, 0.836596, 0.191059, 0.0893618, 0.424926
0.070013, 0.861196, 0.191059, 0.0848698, 0.417196
0.0826136, 0.86313, 0.191059, 0.0870856, 0.394225
0.0728138, 0.887685, 0.191059, 0.0853461, 0.3878
0.0920089, 0.865617, 0.191059, 0.0868765, 0.395663
0.094403, 0.888992, 0.191059, 0.0844672, 0.422947
0.0913164, 0.901328, 0.191059, 0.0845437, 0.408993
0.0801577, 0.882019, 0.191059, 0.0792536, 0.404268
0.0984618, 0.909171, 0.191059, 0.0763863, 0.396841
0.01615, 0.924512, 0.191059, 0.077157, 0.32789
0.0963749, 0.901686, 0.187967, 0.0803673, 0.280028
0.0981071, 0.891272, 0.183613, 0.0781393, 0.29208
0.0469743, 0.884741, 0.182823, 0.0786096, 0.257529
0.0679196, 0.909015, 0.181806, 0.0750349, 0.276186
0.085782, 0.894296, 0.181806, 0.0763089, 0.210915
0.0935641, 0.905385, 0.181806, 0.0769619, 0.202101
0.0906612, 0.895748, 0.181806, 0.0809733, 0.198564
0.0914449, 0.899854, 0.178191, 0.076423, 0.175489
0.148909, 0.925508, 0.178191, 0.0769618, 0.135085
0.123294, 0.920875, 0.176266, 0.0784329, 0.104454
0.0976627, 0.928927, 0.167489, 0.0794281, 0.0637105
0.0504297, 0.940102, 0.162939, 0.077895, -0.00947389
0.0191597, 0.92422, 0.169865, 0.077653, -0.0274743
0.0963817, 0.896628, 0.172761, 0.0808363, -0.0494028
0.0848441, 0.914865, 0.169949, 0.0828407, -0.0715636
0.0716051, 0.924724, 0.165438, 0.0804386, -0.0893646
0.0299735, 0.924871, 0.164564, 0.0785116, -0.0952297
0.0712433, 0.921523, 0.164564, 0.0754533, -0.0869115
0.103364, 0.914866, 0.165805, 0.0746214, -0.0532991
0.0462301, 0.9436, 0.167206, 0.073752, -0.0551731
