E_mu, beta, sig_y, sig_mu, rho
0.1, 0.9, 0.15, 0.1, -0.5
Y , mu
0.1, 0.1
-0.0630227, 0.143778
-0.0175, 0.252421
0.364147, 0.202819
0.123823, 0.221779
0.251884, 0.239623
0.295381, 0.391077
0.508588, 0.411216
0.360694, 0.385864
0.582127, 0.232347
-0.168508, 0.271685
0.19345, 0.213673
0.221228, 0.0252584
0.0232834, -0.0440859
-0.146004, -0.0116984
0.117038, -0.0498268
-0.162218, 0.035261
0.156146, 0.122883
0.223769, 0.0579345
0.0649066, 0.164738
0.337368, 0.0760292
0.0563669, -0.0288392
-0.0179987, -0.0603551
-0.0618915, 0.101102
0.0538132, 0.0816276
-0.157821, 0.110717
0.230288, -0.0157855
-0.214621, 0.157741
0.393177, -0.0106671
-0.0349528, 0.022242
-0.276804, 0.252517
0.250395, 0.287159
0.107528, 0.372973
0.456573, 0.414522
0.397418, 0.264434
0.231608, 0.340426
0.183177, 0.332608
0.167467, 0.352717
0.34035, 0.396182
0.38617, 0.378202
0.549463, 0.294926
0.49408, 0.195379
0.262965, 0.258763
0.267614, 0.25142
-0.0264455, 0.339891
0.305967, 0.412999
0.561635, 0.4127
0.419095, 0.315048
0.296783, 0.47325
0.0447639, 0.645941
0.606276, 0.721076
0.65928, 0.636727
0.877192, 0.452653
0.526328, 0.472082
0.556298, 0.299309
0.278739, 0.334044
0.185699, 0.279941
0.417603, 0.155065
0.335581, 0.0561845
0.00557278, 0.0464842
0.00538916, 0.0266115
0.108722, 0.110309
0.308644, 0.103571
0.238133, -0.0849853
-0.239174, -0.00901179
0.0987248, 0.109476
0.0872607, 0.12959
0.216079, -0.0638489
0.0562083, 0.12647
-0.0296041, 0.00674482
-0.144855, -0.118168
-0.158077, -0.096493
0.0392684, -0.0204233
-0.095418, 0.193194
0.241828, 0.0747387
-0.244018, 0.210392
0.390361, 0.125997
0.0667007, 0.279164
0.401291, 0.312014
0.372587, 0.292012
0.259084, 0.284499
0.318657, 0.12736
0.258777, 0.206009
-0.00708036, 0.194714
0.148093, 0.144604
0.0200685, 0.138697
-0.235512, 0.454129
0.414185, 0.454036
0.578903, 0.220524
0.146896, 0.232079
0.484964, 0.156735
0.123139, 0.146243
0.189635, 0.045042
-0.19148, 0.0865028
0.142561, 0.0903643
0.00388133, 0.291785
0.0761211, 0.364633
0.176147, 0.37813
0.452839, 0.402792
0.52488, 0.266454
0.388954, 0.274481
0.281491, 0.244368
0.0670591, 0.345167
0.25066, 0.239103
0.193323, 0.213534
0.235385, 0.229877
0.235525, 0.202019
0.209548, 0.180563
0.185495, 0.106325
0.186393, 0.0165576
-0.105419, 0.0421162
-0.228242, 0.207387
0.362285, 0.214203
0.300411, 0.158276
0.117315, 0.0294762
-0.0643769, -0.0774502
-0.301372, 0.0274431
0.135194, 0.0349751
-0.300169, 0.086749
0.168855, -0.0294386
0.140951, -0.214826
-0.209334, -0.0753972
-0.293182, 0.111871
0.127603, -0.0260747
-0.103536, 0.0348184
-0.176508, 0.0494818
-0.185108, 0.11728
0.0537199, 0.143915
-0.15722, 0.277168
0.263932, 0.300868
0.329552, 0.322487
0.515233, 0.261677
0.220456, 0.197851
0.356041, 0.239192
0.0753998, 0.232551
0.15929, 0.210948
0.221383, 0.163201
0.174463, 0.142651
0.256609, 0.0896444
0.263328, 0.0635527
0.0742106, -0.0440987
0.329056, -0.0630207
0.232853, -0.0955061
0.181496, -0.100133
-0.538834, 0.0759318
-5.49744e-05, 0.105734
0.256093, 0.241142
0.474688, 0.142577
0.43112, 0.0310173
0.174757, -0.0980739
-0.365834, 0.0324216
-0.180626, 0.155509
0.123411, 0.188106
0.215979, 0.216305
0.112066, 0.271739
0.161293, 0.397075
0.122051, 0.527704
0.522062, 0.608536
0.577066, 0.549452
0.264936, 0.494964
0.521192, 0.402701
0.429379, 0.209058
0.262117, 0.290462
0.389207, 0.248852
0.279656, 0.209199
0.23687, 0.157885
0.0321929, 0.346357
0.445795, 0.337974
0.482168, 0.263271
0.116286, 0.425868
0.304022, 0.430179
0.64218, 0.233547
-0.322249, 0.398639
0.284478, 0.392408
0.193167, 0.458247
0.634128, 0.207584
0.253686, 0.0880997
0.259224, -0.00663399
-0.0519098, 0.208494
0.382356, 0.0919145
0.0292913, 0.0361114
0.203555, -0.120675
-0.0938241, -0.043755
-0.0256035, -0.184952
-0.0253499, -0.172479
-0.19445, -0.241954
-0.150009, -0.144093
-0.319748, -0.147212
-0.0321333, -0.242131
-0.271425, -0.255066
-0.00924369, -0.467582
-0.672566, -0.42397
-0.0686214, -0.574779
-0.534095, -0.431691
-0.641179, -0.299553
-0.223198, -0.217442
-0.0117619, -0.148031
-0.0892697, -0.314575
-0.380509, -0.39866
-0.702539, -0.209743
-0.12588, -0.333385
-0.396609, -0.228604
-0.0662231, -0.119298
0.172843, -0.238291
-0.212028, -0.254551
-0.338077, -0.262019
-0.130586, -0.251642
0.0159799, -0.249571
-0.29517, -0.31873
-0.441502, -0.315581
-0.319788, -0.223993
-0.324467, -0.100118
-0.0213489, -0.0991066
-0.263013, -0.0240877
-0.0220207, -0.102383
0.133914, -0.252418
-0.190646, -0.153783
-0.273353, -0.112881
0.132556, -0.121064
-0.168448, -0.109566
-0.0597701, -0.0403586
-0.193358, 0.136183
0.271525, 0.0291693
0.104868, -0.0475746
0.173725, -0.137483
-0.0978486, -0.139403
-0.0434326, -0.201594
-0.229117, -0.105216
0.0832536, -0.281631
-0.372103, -0.162972
0.0692159, -0.316012
-0.35373, -0.208353
-0.263553, -0.0599466
-0.344458, 0.130709
0.187297, 0.138895
0.0141948, 0.00852437
0.0533418, 0.0178326
0.217664, 0.00621006
-0.0503605, -0.0314563
0.21227, -0.12263
-0.285688, 0.0192529
-0.0578271, 0.0192231
0.0387038, -0.0297937
-0.248075, 0.0991325
-0.12716, 0.149605
0.263144, 0.108842
0.262196, 0.0837995
0.27589, 0.150524
0.174724, 0.049554
-0.117751, 0.121725
0.247425, 0.0518589
0.0136009, 0.114859
0.0415647, 0.297834
0.182117, 0.109737
-0.31634, 0.382789
0.634885, 0.200663
-0.0354835, 0.213976
0.422788, 0.205072
0.192119, 0.0247416
-0.125807, 0.0552971
-0.0290358, -0.00968395
0.0206342, -0.130783
-0.0839842, 0.088821
0.142867, 0.0349822
0.164985, 0.224184
0.293652, 0.265957
0.14294, 0.393596
0.0747807, 0.575502
0.801565, 0.582459
0.534969, 0.540721
0.357371, 0.533234
0.738684, 0.352248
0.230558, 0.353678
0.0736073, 0.480877
0.488565, 0.378963
0.232922, 0.410456
0.435725, 0.473471
0.356401, 0.432158
0.453907, 0.335659
0.345184, 0.306253
0.259724, 0.184105
0.355844, 0.184528
0.261014, 0.0707423
-0.0795779, 0.16915
0.39515, -0.159642
-0.292046, -0.099867
-0.0509316, -0.0251447
-0.168533, 0.048112
0.197112, 0.0141886
0.0109186, 0.0875022
0.133755, 0.211662
0.0424741, 0.221233
0.290881, 0.160183
0.281997, 0.15674
0.165364, 0.0708672
0.224064, -0.0375216
0.152137, -0.0249717
-0.203608, 0.0337076
-0.139563, 0.0711434
-0.13273, 0.0389604
-0.169613, 0.210313
0.201285, 0.057115
-0.0639628, 0.0285682
0.0529013, 0.127953
0.147363, 0.196883
0.0918265, 0.341388
0.529669, 0.312313
0.368364, 0.256718
0.154027, 0.325937
0.2736, 0.31274
0.122844, 0.389404
0.429405, 0.476416
0.529189, 0.477261
0.508344, 0.429166
0.592582, 0.413823
0.291654, 0.376572
0.495719, 0.29234
0.428757, 0.237097
0.119797, 0.186953
-0.111758, 0.228399
0.308046, 0.27685
0.318663, 0.387477
0.605698, 0.240574
0.431065, 0.250652
0.0898067, 0.20675
0.262037, 0.171585
0.365626, 0.138349
-0.095746, 0.0861431
0.166213, 0.216498
0.286571, 0.0389675
-0.026904, 0.101679
-0.064915, 0.203259
0.103749, 0.209823
0.204458, 0.0703333
0.0260234, 0.156374
0.150042, 0.181814
0.217177, 0.066802
0.0667517, -0.00345972
-0.170568, 0.0256049
-0.0734812, 0.022641
0.140147, -0.0668703
0.364398, -0.11751
-0.383972, -0.0981127
0.0243679, -0.107453
-0.168893, 0.0430151
0.17639, -0.0409059
-0.12499, 0.0223302
-0.0435387, 0.00885443
-0.030024, 0.058516
0.00846325, 0.0614858
0.0691689, 0.158403
0.163481, 0.165626
0.306403, 0.159079
0.40518, -0.0435818
-0.430912, 0.0376753
0.172452, -0.0519318
-0.192762, -0.213833
-0.284476, 0.0203391
0.126325, 0.1576
0.29245, -0.00560882
-0.126296, -0.0149736
0.240671, -0.105306
-0.070619, -0.108141
0.18743, -0.210048
-0.20643, -0.0707113
-0.14988, 0.0922466
-0.0138513, 0.311827
0.451388, 0.168256
0.0816771, 0.235289
0.172804, 0.339137
0.281898, 0.378312
0.606405, 0.230988
0.0517662, 0.1294
0.0560907, 0.197153
0.266469, 0.157188
0.397343, 0.0190912
0.0227566, 0.0359401
0.149086, -0.092041
-0.0266932, -0.168515
-0.143786, -0.211522
-0.336874, -0.0819135
-0.149173, 0.00498225
-0.12663, -0.00356801
0.159557, -0.0131458
-0.0620189, 0.164821
0.13572, 0.0913705
0.0335955, -0.0222515
0.299073, -0.0543208
-0.111498, -0.199571
-0.0914992, -0.24469
-0.185449, -0.167667
-0.367475, -0.0630772
0.0541821, -0.16539
-0.246849, -0.0538992
-0.0821116, -0.220979
-0.354485, -0.188026
-0.1384, -0.0728821
-0.279041, 0.0469862
-0.0802009, 0.053709
0.0386448, 0.0325774
0.103696, -0.0561126
0.0378764, 0.0848329
0.0623855, -0.0126592
0.232946, 0.0857035
0.350725, 0.00604328
-0.105926, 0.271062
0.463125, 0.113848
0.0671727, 0.02793
-0.0441399, 0.142457
0.128941, 0.0840099
0.171479, -0.0454374
0.170126, -0.190384
-0.223825, -0.134126
-0.0895798, 0.0221266
0.0869093, 0.164019
0.320273, 0.189356
0.123447, 0.10043
-0.0592576, 0.247871
0.241807, 0.119818
-0.116223, 0.210702
0.0352271, 0.367954
0.422705, 0.427778
0.385113, 0.365226
0.457243, 0.364021
0.35207, 0.343414
0.167817, 0.280879
0.397996, 0.274753
0.157545, 0.26275
0.305356, 0.312387
0.239203, 0.419869
0.447174, 0.3322
0.472538, 0.11344
0.0408138, 0.0789267
0.106879, 0.0395536
-0.0635989, 0.0302824
-0.133129, 0.0439434
0.0751607, 0.0868086
0.261689, 0.0831825
-0.0290728, 0.0729261
0.00640854, 0.096492
0.141869, 0.0598552
-0.0220321, 0.14598
0.173368, 0.0176055
0.101474, -0.0292373
-0.184107, 0.151867
0.28738, -0.0633248
-0.239118, -0.0747338
-0.0457085, -0.0221731
0.126528, -0.115535
-0.140832, -0.121905
-0.332252, -0.0232768
0.10525, 0.139106
0.0728606, 0.116599
0.220082, 0.0661467
-0.0178216, 0.145561
0.333148, 0.102166
